code,name,unit,safety_stock
MU-001,Filter 5 (WWT),ชิ้น,20
MU-002,Filter 10 (WQ),ชิ้น,72
MU-003,Filter 25,ชิ้น,100
MU-004,Filter 50,ชิ้น,100
MU-005,Filter 75,ชิ้น,100
MU-006,Filter 150,ชิ้น,100
MU-007,Filter Bow Off,ม้วน,1
MU-008,Filter Q 50 (ห้ามใช้เป็นขุย),ชิ้น,0
MU-009,Filter S 50 (ห้ามใช้เป็นขุย),ชิ้น,0
MU-010,Foot Valve For GMOO25-GMOO50,ชิ้น,0
MU-011,เทปใยสัปปะรด,ม้วน,48
MU-012,เทปกาว 2 หน้า,ม้วน,12
MU-013,เทปนิจิบัง,ม้วน,10
MU-014,เทปสีน้ำตาล,ม้วน,72
MU-015,เทปสีฟ้า,ม้วน,12
MU-016,แผ่นกาวดักแมลง,แผ่น,50
MU-017,ผ้า Wiper,แพ็ค,80
MU-018,ผ้ากระสอบ,กระสอบ,2
MU-019,ผ้าสีน้ำตาล Cleaning T/L,แพ็ค,32
MU-020,ถุงขยะใส Coater,แพ็ค,0
MU-021,ถุงขยะดำ Garbage bag Size 24x28,แพ็ค,1
MU-022,ถุงมือ Cleaning,คู่,36
MU-023,ถุงมือเครื่องช๊อตบัต,คู่,0
MU-024,ถุงมือกันบาด Cotton Glore L,คู่,36
MU-025,ถุงมือกันบาด Cotton Glore M,คู่,0
MU-026,ถุงมือผ้า (ขอบข้อมือสีเหลือง),คู่,36
MU-027,ตาข่ายทองเหลือง,ม้วน,0
MU-028,ตาข่ายสแตนเลส,ม้วน,0
MU-029,"สายปั๊ม Hose 1 digit ขนาด1"" ยาว3m.",เส้น,1
MU-030,"สายปั๊ม Hose 1 digit ขนาด1"" ยาว6m.",เส้น,1
MU-031,"สายปั๊ม Hose 2 digit ขนาด2""",เส้น,1
MU-032,เลกคุเลเตอร์ปั้ม,ชิ้น,1
MU-033,ใบมีดปาดสี 50mm.,ม้วน,1
MU-034,ใบมีดปาดสี 60mm.,ม้วน,1
MU-035,น้ำยา D-11,ขวด,2
MU-036,น้ำยา T-11,แกลลอน,1
MU-037,น้ำยาอินเจท Inj ( Make up ),แกลลอน,0
MU-038,Soven ล้างหัว Inj,กระปุก,0
MU-039,หมึกอินเจท Inj,กระปุก,0
MU-040,สลิงผ้า polyester webbing sling size 0.5 ton,ชิ้น,0
MU-041,สลิงผ้า polyester webbing sling size 1 ton,ชิ้น,0
MU-042,สลิงลวด wire rope sling dia 20mm x 5m,เส้น,0
MU-043,สลิงลวด wire rope sling dia 5/8 x 2.3 m,เส้น,0
MU-044,สลิงลวด wire rope sling dia 5/8 x 2.8 m,เส้น,0
MU-045,จารบี GREASE,หลอด,12
MU-046,SONAX,กระป๋อง,4
MU-047,เมลามีน,กระสอบ,0
MU-048,แปรงขนมะพร้าว,อัน,0
MU-049,แปรงทองเหลืองด้ามยาว,อัน,0
MU-050,แปรงทองเหลือด้ามสั้น,อัน,0
MU-051,แปรงล้างห้องน้ำ พลาสติก,อัน,0
MU-052,แปรงทาสี,อัน,0
MU-053,"แปรงแบบลูกกลิ้งทาสี 4 """,อัน,0
MU-054,"แปรงแบบลูกกลิ้งทาสี 9 """,อัน,0
MU-055,ไม้กวาดดอกหญ้า,อัน,0
MU-056,ไม้ถูพื้น,อัน,0
MU-057,ไม้ปัดขนไก่,อัน,0
MU-058,ไม้รีดน้ำ,อัน,0
MU-059,ที่ตักขยะพลาสติก,อัน,0
MU-060,หน้ากากจมูกหมู,อัน,0
MU-061,กรองหน้ากากจมูกหมู,อัน,0
MU-062,ไม้กวาดยากไย่,อัน,0
MU-063,น้ำยาเช็ดแผ่น (IPA),แกลอน,1
MU-064,ฟิวเจอร์บอร์ด,อัน,20
MU-070,สลิงผ้า polyester webbing sling size 2 ton,เส้น,0
MU-071,ไม้กวาดพลาสติก เข้า oven,Pcs,0
MU-072,ไม้กวาดทางมะพร้าว,Pcs,0
MU-073,ปากกาน้ำเงิน,ด้าม,10
MU-074,ยางลบ H-3,ก้อน,0
MU-075,Marker แดง,ด้าม,5
MU-076,Marker น้ำเงิน,ด้าม,5
MU-077,Marker ขาว,ด้าม,1
MU-078,Marker KYE,ด้าม,0
MU-079,Highlighter,ด้าม,0
MU-080,ถ่าน AA,ก้อน,4
MU-081,ถ่าน A76/LK44,ก้อน,5
MU-082,ถ่านนาฬิกาจับเวลา CR2026,ก้อน,1
MU-083,ถุงมือ อนุสรณ์ XL,คู่,3
MU-084,ถุงมือ อนุสรณ์ L,คู่,3
MU-085,ถุงมือ อนุสรณ์ M,คู่,3
MU-086,ถุงมือ Takumi WG-640 Size : M,คู่,3
MU-087,ถุงมือ Takumi WG-640 Size : L,คู่,3
MU-088,ถุงมือ Takumi WG-640 Size : XL,คู่,3
MU-089,ถุงใส 6 x9 นิ้ว (15x23 cm),ใบ,40
MU-090,เทปใส 3/4 นิ้ว,ม้วน,3
MU-091,หน้ากาก 3M,ชิ้น,0
MU-092,ผ้าปิดจมูกสีขาว(ผ้า),ชิ้น,0
MU-093,กระดาษ 3 ปุ (500 แผ่น),ริม,2
MU-094,กระดาษอาณ์ตมัน (500 แผ่น),ริม,2
MU-095,กระดาษทราย#400,แผ่น,20
MU-096,กระดาษทราย#600,แผ่น,20
MU-097,กระดาษความร้อน,ชิ้น,2
MU-098,หมึกปริ้น W2090A(เครื่องปริ้นในห้อง),กล่อง,0
MU-099,หมึกปริ้น Esson ERC-09B(เครื่องชั่ง),ตลับ,1
MU-100,หมึกปริ้น Cannon รุ่น 325 (ปริ้นลาเบล),กล่อง,1
MU-101,หมึกปริ้น 85A (ปริ้นลาเบล),กล่อง,0
MU-102,ยากันยุง,อัน,2
MU-103,สบู่,ก้อน,1
MU-104,ชอล์คสี,กล่อง,1
MU-105,แผ่นชิม Feeler 0.10 mm.,กล่อง,1
MU-106,แถบวัดอุหภูมิ Thermax C,อัน,10
MU-107,แถบวัดอุหภูมิ Thermax D,อัน,10
MU-108,แถบวัดอุหภูมิ Thermax E,อัน,10
MU-109,แฟ้มเขียว,ชิ้น,0
MU-110,ฟิวเจอร์บอร์ด,ชิ้น,10
MU-111,กระบอก Foggy,อัน,0
MU-112,ตลับเมตร,อัน,2
MU-113,เทปพันเกลียว,อัน,1
MU-114,แปรงกวาดสี,อัน,0
MU-115,ฟร์อดคัพ,อัน,1
MU-116,รีโมทเครน,อัน,0
MU-117,กรรไกรลม,อัน,0
MU-118,ใบมีดคัตเตอร์เล็ก,แพ็ค,0
MU-119,หลอดไฟสปอตร์ไลด์,หลอด,0
MU-120,ดูโรมิเตอร์แบบชอร์ (Shore durometer),อัน,0
MU-121,แม็กซ์ขนาดใหญ่,อัน,0
MU-122,ชุดกันฝุ่น,ชิ้น,0
